title,website_url,call_deadline,location,is_online_or_hybrid,start_date,end_date,linguistic_field(s),subject_language(s),LINGUISTList_url
"Dissecting Morphological Theory 2: Diminutivization in root-, stem- and word-based morphology (DMTD2)",https://sites.google.com/view/morphologytheories-diminutives,20-Jul-2021,Vienna,False,11-Dec-2021,12-Dec-2021,Computational Linguistics; Linguistic Theories; Morphology; Psycholinguistics,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=448436
Going Romance 2021 (GR 2021),https://www.uva.nl/goingromance2021,20-Jul-2021,Amsterdam (Online),True,01-Dec-2021,03-Dec-2021,General Linguistics; Historical Linguistics; Language Acquisition; Linguistic Theories,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=447016
International Conference cum Workshop on Rhythm of Happiness (ICRH (Rhythm 2021)),https://sites.google.com/view/rhythm2021/,31-Jul-2021,"IIT Kharagpur, West Bengal",False,10-Dec-2021,12-Dec-2021,General Linguistics,Bengali; English,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=442876
Multilingual Learning: Policies and Practices (MLPP),https://mlppkrakow.wordpress.com,01-Oct-2021,Cracow,False,02-Dec-2021,03-Dec-2021,Applied Linguistics; Language Acquisition; Neurolinguistics; Psycholinguistics; Sociolinguistics,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=446536
Multiple Exponence @ ZAS ([email protected]),https://sites.google.com/view/multexzas/,31-Aug-2021,email protected,False,"Berlin, Onl",,Language Documentation; Linguistic Theories; Morphology; Syntax; Typology,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=447156
New Zealand Discourse Conference #8 (NZDC8),https://www.canterbury.ac.nz/arts/nzdc8/,02-Aug-2021,Christchurch,False,10-Dec-2021,11-Dec-2021,Applied Linguistics; Discourse Analysis; Pragmatics; Sociolinguistics; Text/Corpus Linguistics,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=447996
Theoretical and Analytical Multimodality Studies (Multimodality2021),http://www.ifa.uni.wroc.pl/multimodality2021,31-Aug-2021,University of Wroclaw (Online),True,09-Dec-2021,10-Dec-2021,Anthropological Linguistics; Cognitive Science; Pragmatics; Psycholinguistics; Translation,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=443496
30th Conference of the Student Organisation of Linguistics in Europe (ConSOLE 30),https://sites.google.com/view/console2022/home,05-Sep-2021,"Université de Nantes, Nantes",False,25-Jan-2022,27-Jan-2022,Language Acquisition; Morphology; Phonology; Semantics; Syntax,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=448576
4th International UCM Predoctoral Conference on English Linguistics (UPCEL2022),https://eventos.ucm.es/go/upcel2022,14-Sep-2021,Madrid,False,24-Jan-2022,25-Jan-2022,General Linguistics,English,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=448936
American Name Society Annual Meeting (ANS 2022),https://www.americannamesociety.org/conferences/,31-Jul-2021,Online,True,21-Jan-2022,23-Jan-2022,General Linguistics; Historical Linguistics; Lexicography; Ling &amp; Literature; Sociolinguistics,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=446096
Antipassive in Uralic languages (ApUr),,12-Sep-2021,Budapest (Online),True,27-Jan-2022,27-Jan-2022,Typology,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=444576
Eighth Italian Conference on Computational Linguistics (CLiC-it 2021),http://clic2021.disco.unimib.it,13-Sep-2021,Milan,False,26-Jan-2022,28-Jan-2022,Computational Linguistics,Italian,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=444776
"ETLTC2022 International Conference on Technical Communication and New Media, Educational Technology and Technology Assisted Language Learning (ETLTC2022)",https://etltc-acmchap-japanconf.org/,03-Dec-2021,Aizuwakamatsu,False,25-Jan-2022,28-Jan-2022,Applied Linguistics,English,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=444256
Fourth Annual Meeting of the North American Research Network in Historical Sociolinguistics (NARNiHS 2022),http://narnihs.org,27-Sep-2021,Online,True,07-Jan-2022,11-Jan-2022,Historical Linguistics; Sociolinguistics; Text/Corpus Linguistics,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=449016
Social and cultural aspects of language and their figurative potential,,30-Sep-2021,Thessaloniki (Online),True,28-Jan-2022,29-Jan-2022,"Cognitive Science, Discourse Analysis, Sociolinguistics",,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=446996
Change of State Verbs – Empirical and Theoretical Perspectives (DGfS 2022),https://hu.berlin/CoS,01-Aug-2021,Tübingen,False,23-Feb-2022,25-Feb-2022,General Linguistics; Psycholinguistics; Semantics; Syntax; Text/Corpus Linguistics,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=448056
Commitments in Grammar and Discourse (Commit22),https://www.leibniz-zas.de/en/about-us/events/details/events/commitments-in-grammar-and-discourse-commit22,01-Sep-2021,Tübingen,False,23-Feb-2022,25-Feb-2022,General Linguistics; Philosophy of Language; Pragmatics; Psycholinguistics; Semantics; Syntax,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=449096
Current Approaches to Spanish and Portuguese Second Language Phonology 2022 (CASPSLaP 2022),http://caspslap.spanport.wisc.edu/,15-Sep-2021,"Madison, WI",False,17-Feb-2022,19-Feb-2022,Phonetics; Phonology,Portuguese; Spanish,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=443316
"Discourse obligates – How and why discourse limits the way we express what we express (DGfS 2022, AG10)",https://nds.uni-saarland.de/discourse_obligates/,15-Aug-2021,Tübingen,False,23-Feb-2022,25-Feb-2022,Pragmatics; Psycholinguistics,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=448676
How productive is derivational morphology? (DGfS 2022),https://www.dgfs2022.uni-tuebingen.de,15-Aug-2021,Tübingen,False,23-Feb-2022,25-Feb-2022,General Linguistics; Morphology,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=449076
Jahrestagung Linguistische Pragmatik 2022: Pragmatik multimodal (ALP-Jahrestagung 2022),http://www.alp-verein.de/jahrestagung-2022-pragmatik-multimodal,15-Oct-2021,Eberhard Karls Universität Tübingen,False,22-Feb-2022,22-Feb-2022,Pragmatics,German,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=446936
"Morphology in production and perception: Phonetics, phonology and spelling of complex words (MPP2022)",https://mpp2022.phil.hhu.de/,01-Nov-2021,Düsseldorf,False,07-Feb-2022,09-Feb-2022,Linguistic Theories; Morphology; Phonetics; Phonology; Writing Systems,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=443056
Narration in context: between linguistic theory and empirical operationalization,,15-Aug-2021,Tübingen,False,23-Feb-2022,25-Feb-2022,General Linguistics; Historical Linguistics; Ling &amp; Literature; Linguistic Theories; Text/Corpus Linguistics,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=446816
Optionality and non-optionality of syntactic movement (DGfS 2022),https://sites.google.com/view/optional-movement-dgfs2022/,01-Sep-2021,Tübingen,False,23-Feb-2022,25-Feb-2022,Linguistic Theories; Syntax,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=448136
Punctuation,,31-Aug-2021,Tübingen,False,23-Feb-2022,25-Feb-2022,General Linguistics,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=447616
Sources of knowledge in talk-in-interaction (Knowint 22),http://www.usi.ch/knowint,10-Jul-2021,Lugano,False,07-Feb-2022,09-Feb-2022,Pragmatics,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=442856
The diachrony of word class peripheries (DGfS 2022),,01-Sep-2021,Tübingen,False,23-Feb-2022,25-Feb-2022,Historical Linguistics; Morphology; Syntax,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=447376
The graphematics/pragmatics interface (DGfS 2022),http://www.dgfs2022.uni-tuebingen.de,22-Aug-2021,Tübingen,False,24-Feb-2022,25-Feb-2022,Historical Linguistics; Pragmatics; Text/Corpus Linguistics; Writing Systems,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=448356
Towards a comparative historical dialectology: evidence from morphology and syntax (DGfS 2022),http://histdialectology.bplaced.net,15-Aug-2021,Tübingen,False,23-Feb-2022,25-Feb-2022,Historical Linguistics; Morphology; Sociolinguistics; Syntax; Text/Corpus Linguistics,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=448036
Visual Communication. New Theoretical and Empirical Developments (ViCom2022),https://vicom.info/news-and-events/workshop-visual-communication-new-theoretical-and-empirical-developments/,01-Sep-2021,Tuebingen,False,23-Feb-2022,25-Feb-2022,Cognitive Science; Linguistic Theories; Psycholinguistics; Semantics; Typology,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=448216
"(Why) is Language (Not) Rhythmic? (DGfS 2022, AG 14)",,15-Aug-2021,Tübingen,False,23-Feb-2022,25-Feb-2022,General Linguistics,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=449176
XXII CONGRESSO INTERNAZIONALE DELL’ASSOCIAZIONE ITALIANA DI LINGUISTICA APPLICATA (AItLA 2022),,12-Jul-2021,University of Naples,False,10-Feb-2022,11-Feb-2022,Applied Linguistics,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=442956
20th International Workshop on Treebanks and Linguistic Theories (TLT 2021),https://tlt2021.phil.hhu.de,27-Sep-2021,Sofia,False,21-Mar-2022,25-Mar-2022,Computational Linguistics; Morphology; Semantics; Syntax; Text/Corpus Linguistics,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=449316
6th International Conference on Dependency Linguistics (Depling 2021),https://depling.org/depling2021/,27-Sep-2021,Sofia,False,21-Mar-2022,25-Mar-2022,Computational Linguistics; Historical Linguistics; Linguistic Theories; Semantics; Syntax,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=446216
Corpora for Language and Aging Research 5 (CLARe5),http://www.clare-corpora.org,04-Oct-2021,"Anchorage, Alaska",False,09-Mar-2022,11-Mar-2022,General Linguistics,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=447476
Hawaiʻi International Conference on English Language and Literature Studies (HICELLS 2022) (HICELLS 2022),https://hilo.hawaii.edu/depts/english/hicells-2022.php,01-Sep-2021,"Hilo, Hawaii",False,11-Mar-2022,12-Mar-2022,Applied Linguistics; Language Acquisition,English,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=443956
International Society for Dialectology and Geolinguistics (SIDG) (SIDG),http://www.geo-linguistics.org/notice%20board.html,10-Oct-2021,Bucharest,False,24-Mar-2022,28-Mar-2022,Historical Linguistics; Sociolinguistics,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=447496
Northeast Modern Language Association (NeMLA),http://www.buffalo.edu/nemla.html,30-Sep-2021,"Baltimore, MD",False,10-Mar-2022,13-Mar-2022,Applied Linguistics; General Linguistics; Language Acquisition; Ling &amp; Literature; Sociolinguistics,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=448096
Poetry and Identity: Shaping and Sharing the Trauma of Displacement (NeMLA 2022 - Panel) (NeMLA Panel),https://www.cfplist.com/nemla/Home/S/19403,19-Oct-2021,Baltimore,False,10-Mar-2022,13-Mar-2022,Ling &amp; Literature,English,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=447876
Political Discourse: New Approaches to New Challenges? (NANC 2022),,01-Oct-2021,"Nancy, Lorraine",False,07-Mar-2022,08-Mar-2022,Cognitive Science; Discourse Analysis; Linguistic Theories; Semantics; Text/Corpus Linguistics,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=447696
The Once and Future English,http://sites.nd.edu/once-and-future-english/,15-Aug-2021,London,False,10-Mar-2022,12-Mar-2022,Historical Linguistics,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=416476
10th International Research Conference Topical Issues of Linguistics and Teaching Methods in Business and Professional Communication (TILTMBPC),http://lspconference.ru,01-Mar-2022,Moscow,False,22-Apr-2022,23-Apr-2022,Applied Linguistics; General Linguistics; Translation,English,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=448556
10th International Symposium on the Acquisition of Second Language Speech (New Sounds 2022),https://www.ub.edu/newsounds2022/,01-Nov-2021,Barcelona,False,20-Apr-2022,22-Apr-2022,Applied Linguistics; Language Acquisition; Phonetics; Phonology; Psycholinguistics,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=444996
6th International Conference on Figurative Thought and Language (FTL6),http://ftl6.amu.edu.pl,15-Sep-2021,Poznań,False,20-Apr-2022,24-Apr-2022,Cognitive Science,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=447436
International Conference on Language Variation in Europe (ICLaVE 11),http://iclave11.dioe.at,30-Sep-2021,Vienna,False,11-Apr-2022,14-Apr-2022,General Linguistics; Linguistic Theories; Sociolinguistics; Text/Corpus Linguistics; Typology,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=420376
Onomastic Conference “Anthroponyms and anthroponymic researches in the Beginning of 21th Century” (ConfZaimov2021),https://ibl.bas.bg/confzaimov2021/,01-Feb-2022,Sofia,False,20-Apr-2022,21-Apr-2022,Historical Linguistics,Bulgarian,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=434336
"Third International Symposium on Language Attitudes toward Portuguese, Spanish and Related Languages (LATSPRL)",https://cla.tamucc.edu/humanities/spanish/3rd-islatsprl.html,01-Oct-2021,"Corpus Christi, TX",False,21-Apr-2022,23-Apr-2022,Applied Linguistics; Pragmatics; Sociolinguistics,Portuguese; Spanish,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=445416
"10th International Symposium on Intercultural, Cognitive and Social Pragmatics (EPICS X)",http://eventos.upo.es/go/EPICSX,01-Dec-2021,Seville,False,23-May-2022,25-May-2022,Pragmatics,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=449296
25th International Symposium on Theoretical and Applied Linguistics (ISTAL25),https://www.new.enl.auth.gr/istal25/,31-Oct-2021,Thessaloniki,False,13-May-2022,15-May-2022,Applied Linguistics; Discipline of Linguistics; General Linguistics; Linguistic Theories,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=448736
9th International Colloquium on the History of Specialised Ibero-Romance Languages (CIHLIE IX),http://eventum.upf.edu/go/CIHLIEIX,30-Nov-2021,Barcelona,False,12-May-2022,14-May-2022,Discourse Analysis; History of Linguistics; Text/Corpus Linguistics; Translation,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=445356
Current Trends in English Linguistics,https://linguistik-oldenburg.weebly.com/,30-Sep-2021,Oldenburg,False,19-May-2022,20-May-2022,General Linguistics,English,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=440316
English Pronunciation: Issues and Practices (EPIP7),https://epip7.sciencesconf.org/,10-Jan-2022,Grenoble,False,18-May-2022,20-May-2022,Applied Linguistics; Language Acquisition; Phonetics; Phonology; Sociolinguistics,English,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=443556
Hearing and Linguistics,,30-Sep-2021,Oldenburg,False,13-May-2022,14-May-2022,Psycholinguistics,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=444376
La langue en échantillons : histoire de l'exemple dans les ouvrages du français langue étrangère du XVIe au XXe siècle,https://www.sihfles.org/2021/06/14/appel-a-communications/,01-Oct-2021,Nicosia,False,12-May-2022,13-May-2022,History of Linguistics,French,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=448796
Second Conference on the Endangered Languages of East Asia (CELEA2),https://www.unive.it/pag/40235,31-Dec-2021,Venice,False,03-May-2022,05-May-2022,General Linguistics,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=446616
Subjectivity and Intersubjectivity in Language and Culture,https://folklore.ee/CEES/2022/,10-Sep-2021,Tartu,False,12-May-2022,13-May-2022,Pragmatics,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=445216
The Grammar of Causation – III,,01-Sep-2021,The University of Paris – La Sorbonne,False,13-May-2022,14-May-2022,Cognitive Science; Computational Linguistics; Discipline of Linguistics; Discourse Analysis,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=442596
11th Historical Sociolinguistics Network Conference (HiSoN-2022),http://eventos.um.es/go/hison2022,30-Nov-2021,Murcia,False,01-Jun-2022,03-Jun-2022,Anthropological Linguistics; General Linguistics; Historical Linguistics; Sociolinguistics,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=445636
6th Frederic Dard/San-Antonio International Colloquium (Dard2022),,15-Sep-2021,Université de Bourgogne / University of Burgundy (Dijon),False,29-Jun-2022,01-Jul-2022,Ling &amp; Literature; Translation,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=446836
Contrastive Linguistics: taking stock and looking forward in 2022. A conference in the honour of Jacqueline Guillemin-Flescher,,01-Dec-2021,Paris Créteil,False,09-Jun-2022,11-Jun-2022,Translation,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=448636
"Interculturality, social media and the working environment",,15-Sep-2021,Zwickau,False,14-Jun-2022,16-Jun-2022,Text/Corpus Linguistics,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=448976
International Hybrid Conference “Future Challenges in Early Language Learning and Multilingual Education” (ELLME2022),https://congresos.ugr.es/ELLME2022,31-Oct-2021,Granada,False,22-Jun-2022,24-Jun-2022,Applied Linguistics; Language Acquisition; Psycholinguistics; Sociolinguistics,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=448716
Postmodality and the life cycles of modal expressions,https://postmodality.sciencesconf.org,30-Nov-2021,Caen,False,02-Jun-2022,03-Jun-2022,General Linguistics; Historical Linguistics; Semantics; Syntax; Typology,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=446576
8e Congrès Mondial de Linguistique Française (8e CMLF),https://cmlf2022.sciencesconf.org/,21-Dec-2021,Orléans,False,04-Jul-2022,08-Jul-2022,General Linguistics,French,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=446916
Sociolinguistic Symposium 24. Inside and beyond binaries. (SS24),https://ss24ghent.be/,30-Sep-2021,University of Ghent,False,13-Jul-2022,16-Jul-2022,Anthropological Linguistics; Sociolinguistics,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=447796
55th Annual Meeting of the Societas Linguistica Europaea (SLE 2022 Bucharest),https://societaslinguistica.eu/meetings/,20-Nov-2021,Bucharest,False,24-Aug-2022,27-Aug-2022,General Linguistics,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=445876
LAUD 2022 - Multilingualism in Africa (LAUD 2022),https://www.uni-koblenz-landau.de/de/landau/fb6/philologien/anglistik/laudsymposium,10-Jul-2021,Landau in der Pfalz,False,08-Aug-2022,12-Aug-2022,Anthropological Linguistics; Applied Linguistics; Cognitive Science; Discourse Analysis; Sociolinguistics,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=447136
Methods in Dialectology XVII (Methods 17),https://methodsxvii.uni-mainz.de/,15-Dec-2021,Mainz,False,01-Aug-2022,05-Aug-2022,Sociolinguistics,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=442276
14th International Conference on Theoretical Issues in Sign Language Research (TISLR 14),https://cscenter.co.jp/tislr2022/ (to be available on April 30. 2021),30-Sep-2021,"National Museum of Ethnology (Osaka, Japan)/ or Online (Zoom)",True,27-Sep-2022,30-Sep-2022,General Linguistics,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=443276
20th International Morphology Meeting (IMM20),http://www.nytud.hu/imm20/,15-Jan-2022,Budapest,False,01-Sep-2022,04-Sep-2022,Morphology,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=449336
Quinto Coloquio Internacional “Ideologías Lingüísticas en la Prensa Escrita y otros Medios de Comunicación” (ILPE 5),http://congresos.fahce.unlp.edu.ar/vilpe,28-Feb-2022,La Plata & Ciudad Autónoma de Buenos Aires,False,28-Sep-2022,30-Sep-2022,Ling &amp; Literature; Sociolinguistics,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=444696
International Conference on Multilingual Awareness and Multilingual Practices (MAMP3),https://mamp2020.school.blog,15-Jul-2022,Joensuu,False,06-Oct-2022,07-Oct-2022,Discourse Analysis; Language Acquisition; Neurolinguistics; Psycholinguistics; Sociolinguistics,,https://old.linguistlist.org/callconf/browse-conf-action.cfm?ConfID=414956
